9.009,0.051
9.033,0.045
9.056,0.043
9.079,0.042
9.102,0.047
9.125,0.068
9.149,0.080
9.172,0.088
9.195,0.085
9.218,0.069
9.242,0.053
9.265,0.040
9.288,0.036
9.311,0.034
9.334,0.032
9.358,0.040
9.381,0.057
9.404,0.065
9.427,0.068
9.451,0.064
9.474,0.050
9.497,0.039
9.520,0.033
9.543,0.029
9.567,0.026
9.590,0.023
9.613,0.020
9.636,0.022
9.660,0.034
9.683,0.044
9.706,0.049
9.729,0.051
9.752,0.046
9.776,0.040
9.799,0.037
9.822,0.034
9.845,0.032
9.868,0.031
9.892,0.030
9.915,0.029
9.938,0.029
9.961,0.027
9.985,0.025
10.008,0.022
10.031,0.020
10.054,0.018
10.077,0.018
10.101,0.019
10.124,0.020
10.147,0.020
10.170,0.020
10.194,0.020
10.217,0.019
10.240,0.018
10.263,0.019
10.286,0.022
10.310,0.024
10.333,0.024
10.356,0.022
10.379,0.029
10.403,0.034
10.426,0.040
10.449,0.043
10.472,0.043
10.495,0.042
10.519,0.047
10.542,0.050
10.565,0.050
10.588,0.047
10.612,0.041
10.635,0.037
10.658,0.034
10.681,0.037
10.704,0.035
10.728,0.033
10.751,0.031
10.774,0.028
10.797,0.034
10.820,0.037
10.844,0.042
10.867,0.045
10.890,0.043
10.913,0.041
10.937,0.037
10.960,0.033
10.983,0.030
11.006,0.028
11.029,0.025
11.053,0.025
11.076,0.032
11.099,0.038
11.122,0.040
11.146,0.041
11.169,0.037
11.192,0.030
11.215,0.027
11.238,0.024
11.262,0.022
11.285,0.020
11.308,0.021
11.331,0.042
11.355,0.054
11.378,0.061
11.401,0.065
11.424,0.056
11.447,0.051
11.471,0.051
11.494,0.053
11.517,0.058
11.540,0.055
11.564,0.059
11.587,0.059
11.610,0.059
11.633,0.059
11.656,0.055
11.680,0.056
11.703,0.061
11.726,0.067
11.749,0.068
11.773,0.064
11.796,0.065
11.819,0.071
11.842,0.077
11.865,0.084
11.889,0.080
11.912,0.073
11.935,0.065
11.958,0.061
11.981,0.060
12.005,0.058
12.028,0.054
12.051,0.051
12.074,0.049
12.098,0.053
12.121,0.058
12.144,0.061
12.167,0.061
12.190,0.054
12.214,0.048
12.237,0.040
12.260,0.036
12.283,0.033
12.307,0.030
12.330,0.039
12.353,0.058
12.376,0.075
12.399,0.082
12.423,0.081
12.446,0.074
12.469,0.062
12.492,0.059
12.516,0.058
12.539,0.055
12.562,0.053
12.585,0.061
12.608,0.066
12.632,0.066
12.655,0.064
12.678,0.062
12.701,0.062
12.725,0.068
12.748,0.070
12.771,0.060
12.794,0.052
12.817,0.053
12.841,0.056
12.864,0.061
12.887,0.064
12.910,0.059
12.934,0.057
12.957,0.053
12.980,0.050
13.003,0.047
13.026,0.042
13.050,0.062
13.073,0.075
13.096,0.085
13.119,0.089
13.142,0.079
13.166,0.067
13.189,0.054
13.212,0.047
13.235,0.043
13.259,0.039
13.282,0.040
13.305,0.051
13.328,0.059
13.351,0.065
13.375,0.068
13.398,0.064
13.421,0.062
13.444,0.060
13.468,0.059
13.491,0.057
13.514,0.052
13.537,0.072
13.560,0.089
13.584,0.101
13.607,0.108
13.630,0.097
13.653,0.082
13.677,0.067
13.700,0.054
13.723,0.050
13.746,0.049
13.769,0.047
13.793,0.065
13.816,0.089
13.839,0.105
13.862,0.116
13.886,0.112
13.909,0.100
13.932,0.087
13.955,0.079
13.978,0.076
14.002,0.074
14.025,0.072
14.048,0.070
14.071,0.078
14.095,0.082
14.118,0.086
14.141,0.087
14.164,0.079
14.187,0.074
14.211,0.068
14.234,0.063
14.257,0.059
14.280,0.056
14.303,0.053
14.327,0.063
14.350,0.070
14.373,0.073
14.396,0.072
14.420,0.062
14.443,0.052
14.466,0.046
14.489,0.044
14.512,0.042
14.536,0.038
14.559,0.036
14.582,0.055
14.605,0.077
14.629,0.089
14.652,0.092
14.675,0.083
14.698,0.067
14.721,0.054
14.745,0.049
14.768,0.047
14.791,0.052
14.814,0.059
14.838,0.069
14.861,0.073
14.884,0.072
14.907,0.071
